,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all,<S^2>_deg,<S^2>_all
0,1,0.42270908780599115,2.7755575615628914e-17,0.0,0.0,0.4227090878059911,0.0,5.551115123125783e-17
1,2,0.8205422956420161,0.0007616442164027903,0.0,0.0,0.8204087666032124,0.0,0.0007890054008073966
2,3,1.1542990818454713,0.005992091877310646,0.0,0.0,1.1539749823099656,0.0,0.006270802957909716
3,4,1.3984529212975882,0.010881840069810744,0.0,0.0,1.396250275437462,0.0,0.011191798165461675
4,5,1.597361548587486,0.017973412411249612,0.0,0.0,1.593225800504605,0.0,0.01817675202255975
5,6,1.751687443078284,0.0260103207159208,0.0,0.0,1.7464454795464424,0.0,0.026007351899462794
6,7,1.8676882812953988,0.03308780453649085,0.0,0.0,1.8617106741566232,0.0,0.033016400274334945
7,8,1.9479061554631598,0.03881186487867838,0.0,0.0,1.941591154367325,0.0,0.038680179864850395
8,9,1.9948099656012805,0.04249267871529616,0.0,0.0,1.988609760090186,0.0,0.04239531503980132
9,10,2.0102938637617083,0.0435737864140302,0.0,0.0,2.00406422204852,0.0,0.043525371908788024
