,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.6674746983045395,0.001322505293724352,0.0,6.36805794725647e-06,0.6674778823335132
1,2,1.3206898580630384,0.0061942140282842395,0.0,1.2518010002004122e-05,1.3206965208442638
2,3,1.9212001278853814,0.0184930904636027,0.0,1.7981037708512463e-05,1.921211018236578
3,4,2.4572176105081827,0.0437225415963578,0.0,2.222338632318468e-05,2.4572325172321543
4,5,2.92225957145186,0.08567827022727492,0.0,2.477896066415169e-05,2.922277973060105
5,6,3.307926666684854,0.14125081548935903,0.0,2.6833312923855965e-05,3.307948172638621
6,7,3.6109470906891983,0.20364665777248092,0.0,2.7833173977254613e-05,3.610971081429714
7,8,3.8287114005614606,0.262084926205155,0.0,2.85170500109939e-05,3.8287373663931996
8,9,3.960061230131994,0.3047726124428376,0.0,2.8916733235619752e-05,3.9600882818342953
9,10,4.003748476158764,0.3203042299450942,0.0,2.9048310077682586e-05,4.003775934483855
