,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.39830711380528433,0.0,0.0,,0.39830711380528433
1,2,0.7733381039350711,0.0007819325813447353,0.0,,0.7728660296761891
2,3,1.0893759377743744,0.005820714963967966,0.0,,1.0872120133226775
3,4,1.3256254516814727,0.010376619816608423,0.0,,1.32328848038784
4,5,1.5199842073445098,0.016648760855066058,0.0,,1.518249796246323
5,6,1.6769136617677416,0.023321339042301492,0.0,,1.675707331678423
6,7,1.801021896152537,0.029651830923559164,0.0,,1.8000100963520493
7,8,1.8947791183900462,0.035218978299721204,0.0,,1.8942292867862531
8,9,1.9608980570256473,0.03958904341939107,0.0,,1.96054065579108
9,10,2.0001403587690305,0.04250979244640263,0.0,,1.999694612674932
10,11,2.01326908140375,0.04346526979157783,0.0,,2.0129657109768413
