,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all,<S^2>_deg,<S^2>_all
0,1,0.5947805429151685,1.4683882442425183e-30,0.0,4.103222140069175e-07,0.5947807480762755,,1.4684082056001515e-30
1,2,1.1802325422223006,0.00018346990429854616,0.0,8.097922417292341e-07,1.1802327336266913,,0.00018348175866428945
2,3,1.732350488954572,0.0018259005810653713,0.0,1.18851501219656e-06,1.732351383750943,,0.0018258784084845315
3,4,2.241145949734917,0.007375244786828318,0.0,1.5417806769715095e-06,2.241147369411418,,0.007375091454009487
4,5,2.704381170170504,0.018776434392773066,0.0,1.8570360999655927e-06,2.7043833217736895,,0.018776008750115158
5,6,3.1141865422600814,0.03670462814049563,0.0,2.1425837260543694e-06,3.1141896498406383,,0.03670415124618762
6,7,3.4680138160054983,0.06031834029463138,0.0,2.3854713308512535e-06,3.4680178692838486,,0.06031812372126724
7,8,3.760749001573986,0.08768534789483538,0.0,2.5966821799364977e-06,3.760754256456433,,0.08768569084034274
8,9,3.991136706294149,0.11625394353507659,0.0,2.760636150132211e-06,3.9911428768105064,,0.11625486010257541
9,10,4.1563404220834155,0.1418080072746101,0.0,2.888609758532562e-06,4.1563473928975965,,0.14180931774052988
10,11,4.255864402482808,0.159932295802708,0.0,2.9613292651643474e-06,4.255871797066317,,0.15993380139139746
11,12,4.28889202120166,0.16653685801645776,0.0,2.9904850376024596e-06,4.288899646687909,,0.16653842474306296
