,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.42270908780599126,-2.7755575615628914e-17,0.0,0.0,0.42270908780599126
1,2,0.8163930894413551,0.0008630550169062001,0.0,0.0,0.8163930894413551
2,3,1.1390871549735988,0.005918994368233399,0.0,0.0,1.1390871549735988
3,4,1.3853807141857144,0.012025799665170034,0.0,0.0,1.3853807141857144
4,5,1.5804334801724953,0.01933838859317394,0.0,0.0,1.5804334801724953
5,6,1.734067566310888,0.027562163150263164,0.0,0.0,1.734067566310888
6,7,1.8496319315225846,0.0349970801019599,0.0,0.0,1.8496319315225846
7,8,1.9303787558346743,0.04105486729818297,0.0,0.0,1.9303787558346743
8,9,1.9781028830628578,0.04509469458988269,0.0,0.0,1.9781028830628578
9,10,1.993885872510644,0.04655137966358369,0.0,0.0,1.993885872510644
