,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all,<S^2>_deg,<S^2>_all
0,1,0.4741393130578376,9.048529082170896e-32,0.0,0.0,0.47413931305783763,0.0,9.062086220169102e-32
1,2,0.922348079764495,0.0005314097958739084,0.0,0.0,0.92245339115502,0.0,0.0005259952581723817
2,3,1.3109130701429559,0.004184462998379901,0.0,0.0,1.3110793713373718,0.0,0.0041706002955991086
3,4,1.6332168157786255,0.011688124347983279,0.0,0.0,1.633396371520494,0.0,0.011671519816784964
4,5,1.8920258353486021,0.019790521662770188,0.0,0.0,1.89213754003211,0.0,0.019756327376157623
5,6,2.100567145124096,0.02807964888037071,0.0,0.0,2.1006016462392587,0.0,0.02800863347996854
6,7,2.2651180045887003,0.036030065904032835,0.0,0.0,2.2650673423713727,0.0,0.035912550477717305
7,8,2.38983092277289,0.043209213445234554,0.0,0.0,2.3896900576306903,0.0,0.04304069395781259
8,9,2.477125954083419,0.04905548966882298,0.0,0.0,2.476929374644367,0.0,0.04884660681636524
9,10,2.5288314339371967,0.05311782263606977,0.0,0.0,2.528597024436109,0.0,0.0528761380359964
10,11,2.545920366538027,0.05465913493720845,0.0,0.0,2.54568520114022,0.0,0.054409325364285825
