,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all,<S^2>_deg,<S^2>_all
0,1,0.6698677057055848,0.0010869760567625564,0.0,0.6682611969339821,0.6698710480115446,0.002488249310522883,0.0010879579948469553
1,2,1.3229638112479967,0.0049096962186157,0.0,1.3219007385019106,1.323696990782827,0.010289913373380255,0.004941683092084759
2,3,1.9267152064106454,0.014129345480554889,0.0,1.9322324558074082,1.9304012276495308,0.02508305255424581,0.014257373338540713
3,4,2.471338721023755,0.03315122197688325,0.0,2.490628553610135,2.4807153579038506,0.04972387270820544,0.03334627471900031
4,5,2.951869602140689,0.06552775853394088,0.0,2.9910032041670367,2.9692033993135767,0.08620291740427888,0.06560294415145229
5,6,3.3627807768835596,0.11103674540879815,0.0,3.4259240569916773,3.3895971292337754,0.1334510231741124,0.1107394929030221
6,7,3.701773863970706,0.16664103104422878,0.0,3.7911477924190566,3.738858538195866,0.18883675410792478,0.16595417730500728
7,8,3.9664127040625003,0.2251162813114327,0.0,4.081338554224308,4.013436611371371,0.24612270109251,0.22426092091978944
8,9,4.155950032819564,0.2778585639166451,0.0,4.292553830926223,4.211387638108716,0.2976561342034181,0.27715830315670686
9,10,4.269617947388849,0.3148974247937417,0.0,4.420761900105737,4.330714082196524,0.3338645882822391,0.3144758164680681
10,11,4.307485651190967,0.32842081045284743,0.0,4.463880806849683,4.3706459354397404,0.34720670159942557,0.32821201344479434
