,subsizes,<S>,<S^2>,<S>_typ
0,1,0.3250829733914486,-1.3877787807814457e-17,0.0
1,2,0.5879650789586449,0.0021561726704991124,0.0
2,3,0.7825302429391876,0.004658115392844331,0.0
3,4,0.9367127895470904,0.0073939974852830215,0.0
4,5,1.0594749261478567,0.010160888533664147,0.0
5,6,1.1556624394360993,0.012801471410892828,0.0
6,7,1.228232994315583,0.015208831229425845,0.0
7,8,1.279067577500305,0.017246580497351838,0.0
8,9,1.3093326223962565,0.018725376929088045,0.0
9,10,1.3194218987831023,0.01932480135273784,0.0
