,subsizes,<S>,<S^2>,<S>_typ
0,1,0.6890092384766587,-1.1102230246251565e-16,0.0
1,2,1.3427271459543826,0.0014336106743251253,0.0
2,3,1.9508600292411435,0.007603192951799009,0.0
3,4,2.5037075640197464,0.022055789260506664,0.0
4,5,2.996308487848027,0.04765897736821678,0.0
5,6,3.422439770800939,0.08471334638375794,0.0
6,7,3.7784434251001553,0.13140298306569953,0.0
7,8,4.059688484564214,0.18194108147690713,0.0
8,9,4.263262259679688,0.22874612581835052,0.0
9,10,4.386194578262993,0.26218953102233655,0.0
10,11,4.427404730330986,0.27470300091094657,0.0
