,subsizes,<S>,<S^2>,<S>_typ
0,1,0.6698677057055848,0.0010869760567625564,0.0
1,2,1.3006702134400903,0.006113384211789308,0.0
2,3,1.8830198740309856,0.018769244606267055,0.0
3,4,2.407639445210207,0.04261739716113855,0.0
4,5,2.8707102169950525,0.08022708407552415,0.0
5,6,3.267627014210117,0.13102353031648484,0.0
6,7,3.5962500513433033,0.19192113335284766,0.0
7,8,3.8538215350094145,0.2556896945273994,0.0
8,9,4.039032408977961,0.3132931075432879,0.0
9,10,4.1503854510324825,0.35384065915089025,0.0
10,11,4.187540399127791,0.36868842299892535,0.0
