,subsizes,<S>,<S^2>,<S>_typ
0,1,0.6698677057055848,0.0010869760567625564,0.0
1,2,1.3032089937701632,0.0062439139032492985,0.0
2,3,1.8897586602801715,0.01947952718859769,0.0
3,4,2.420182886054835,0.04460910850179012,0.0
4,5,2.890079440769334,0.08412073727148872,0.0
5,6,3.29427765286147,0.13714978319652182,0.0
6,7,3.630109251696587,0.20036654044539937,0.0
7,8,3.894172385657923,0.26624149591434687,0.0
8,9,4.084596277821738,0.32553905810529926,0.0
9,10,4.199338980933177,0.3671461515428369,0.0
10,11,4.237758116475927,0.3824637342021653,0.0
