,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.47413931305783763,-1.942890293094024e-16,0.0,,0.47413931305783763
1,2,0.9267187571617347,0.000553712767387804,0.0,,0.9270110808660539
2,3,1.3180804194016293,0.00473964836840679,0.0,,1.3184906757707417
3,4,1.6429604643765832,0.014173733082971207,0.0,,1.643416433588856
4,5,1.9002959413893106,0.024655846603081066,0.0,,1.9007940400455388
5,6,2.108174459007042,0.03654951499817827,0.0,,2.108743642106466
6,7,2.271873179201684,0.048276157214802495,0.0,,2.2725733838075204
7,8,2.3956822358538856,0.05889987957327314,0.0,,2.396620012038972
8,9,2.4822546175225666,0.06734606622199735,0.0,,2.483390238054623
9,10,2.5334635545373256,0.07298819061184325,0.0,,2.534757519339561
10,11,2.5503660544727906,0.07501189614051906,0.0,,2.5517021315892916
