,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.6698677057055847,0.0010869760567626119,0.0,,0.6698684480837779
1,2,1.326402855816408,0.004909630319419156,0.0,,1.3271343255536623
2,3,1.9329389883143895,0.014195999418060712,0.0,,1.9372217382019865
3,4,2.4793776057249457,0.033337532351016996,0.0,,2.4903870063790636
4,5,2.9612392466242095,0.06591157519296509,0.0,,2.981322892539966
5,6,3.372252025302652,0.11144761046050178,0.0,,3.4037174187105244
6,7,3.7104793078293974,0.166326342145398,0.0,,3.75397695197758
7,8,3.9732030329922283,0.2238598054955645,0.0,,4.028862726161861
8,9,4.160798030955063,0.27574285522565134,0.0,,4.226829804711741
9,10,4.272731396308912,0.31183902788549034,0.0,,4.345822340408769
10,11,4.309910611528268,0.3248008858105713,0.0,,4.3855429560250005
