,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.6698677057055848,0.0010869760567625564,0.0,1.4847563862414136e-06,0.6698684480837779
1,2,1.327699338595121,0.005115802278587989,0.0,2.92513073034693e-06,1.327735719742173
2,3,1.9376799031349363,0.015203102678894798,0.0,4.2817479895562105e-06,1.9377508174628573
3,4,2.4892515713859846,0.03593084063832119,0.0,5.531411513985809e-06,2.489381873567526
4,5,2.97831273600483,0.07097551648496392,0.0,6.615423989622543e-06,2.9784800097366766
5,6,3.398073082363567,0.11993299811411084,0.0,7.575445811923615e-06,3.398278470787474
6,7,3.744909352647908,0.17837141256237743,0.0,8.354847834885089e-06,3.745139089722029
7,8,4.016104315158595,0.2391254692200313,0.0,9.00568950710087e-06,4.016358520039718
8,9,4.210983955506151,0.29390349767909996,0.0,9.441249221999532e-06,4.211278678651697
9,10,4.327986063570804,0.33216763157192375,0.0,9.736340818817683e-06,4.328312233950122
10,11,4.367033722994012,0.34613177182886545,0.0,9.814278485479973e-06,4.367361774515966
