,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.17320520674917728,3.469446951953614e-18,0.0,0.0,0.17320520674917728
1,2,0.2868359830561608,1.3877787807814457e-17,0.0,0.0,0.2868359830561608
2,3,0.376770161256437,0.0,0.0,0.0,0.376770161256437
3,4,0.45056120886630485,-2.7755575615628914e-17,0.0,0.0,0.45056120886630485
4,5,0.5117400734174095,5.551115123125783e-17,0.0,0.0,0.5117400734174095
5,6,0.5623351446188084,0.0,0.0,0.0,0.5623351446188084
6,7,0.6036372515003262,1.1102230246251565e-16,0.0,0.0,0.6036372515003262
7,8,0.6365141682948129,5.551115123125783e-17,0.0,0.0,0.6365141682948129
8,9,0.6615632381579821,0.0,0.0,0.0,0.6615632381579821
9,10,0.6791932659915257,1.6653345369377348e-16,0.0,0.0,0.6791932659915257
10,11,0.6896709283570268,-5.551115123125783e-17,0.0,0.0,0.6896709283570268
11,12,0.6931471805599454,-5.551115123125783e-17,0.0,0.0,0.6931471805599454
